requirement_id,tender_id,requirement_text,requirement_category,requirement_subcategory,metric,minimum_value,maximum_value,unit,mandatory,required_document_type,validity_required,verification_type,severity_if_failed,difficulty_level,linguistic_variant
REQ-000001,TND-000001,The bidder shall hold an active GST registration.,GST,GST,GST,,,,True,GST Certificate,True,DATE_CHECK,CRITICAL,MEDIUM,3
REQ-000002,TND-000001,A valid PAN document shall be submitted.,PAN,PAN,PAN,,,,True,PAN Document,False,FIELD_MATCH,CRITICAL,MEDIUM,2
REQ-000003,TND-000001,Relevant experience of 7 years or more shall be demonstrated through qualifying completion evidence.,Experience,Experience,Experience,7.0,,years,True,Experience Certificate,False,DATE_CHECK,CRITICAL,MEDIUM,2
REQ-000004,TND-000001,Bidder must have a minimum average annual turnover of INR 10.4 crore during the last three financial years.,Financial,Financial,Financial,104100000.0,,INR,True,Financial/Turnover Document,False,CROSS_DOCUMENT,CRITICAL,MEDIUM,4
REQ-000005,TND-000001,The bidder shall submit authorization from the original equipment manufacturer.,OEM Authorization,OEM Authorization,OEM Authorization,,,,True,OEM Authorization,True,DATE_CHECK,CRITICAL,MEDIUM,4
REQ-000006,TND-000001,The bidder shall provide a declaration of applicable local content.,Local Content,Local Content,Local Content,,,,True,Supporting Document,False,DATE_CHECK,MEDIUM,MEDIUM,3
REQ-000007,TND-000001,The bidder shall demonstrate latest-year turnover of at least INR 12.7 crore.,Turnover,Turnover,Turnover,126600000.0,,INR,True,Financial/Turnover Document,False,THRESHOLD_CHECK,LOW,MEDIUM,1
REQ-000008,TND-000001,Applicable social-security registration shall be supported with documentary evidence.,EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,True,Supporting Document,True,FIELD_MATCH,MEDIUM,MEDIUM,4
REQ-000009,TND-000001,The bidder shall submit the required legal and eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,True,Supporting Document,False,FIELD_MATCH,MEDIUM,MEDIUM,3
REQ-000010,TND-000001,"NSIC registration, where relied upon, shall be supported by evidence.",NSIC,NSIC,NSIC,,,,True,Supporting Document,True,DATE_CHECK,LOW,MEDIUM,3
REQ-000011,TND-000001,The bidder shall submit the required legal and eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,True,Supporting Document,False,SEMANTIC_MATCH,MEDIUM,MEDIUM,1
REQ-000012,TND-000001,Applicable social-security registration shall be supported with documentary evidence.,EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,True,Supporting Document,True,CROSS_DOCUMENT,LOW,MEDIUM,3
REQ-000013,TND-000001,The bidder shall satisfy the tender-specific eligibility condition stated for this procurement.,Tender-specific,Tender-specific,Tender-specific,3.0,,units,True,Supporting Document,False,FIELD_MATCH,MEDIUM,MEDIUM,3
REQ-000014,TND-000001,The bidder shall demonstrate the technical capability necessary to perform the contract.,Technical eligibility,Technical eligibility,Technical eligibility,,,,True,Supporting Document,False,FIELD_MATCH,HIGH,MEDIUM,2
REQ-000015,TND-000001,"Where MSME status is claimed, valid Udyam evidence shall be furnished.",Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,True,Udyam/MSME Certificate,True,DATE_CHECK,MEDIUM,MEDIUM,3
REQ-000016,TND-000001,"Where startup benefits are claimed, supporting startup-status evidence shall be furnished.",Startup India,Startup India,Startup India,,,,True,Supporting Document,False,FIELD_MATCH,MEDIUM,MEDIUM,1
REQ-000017,TND-000001,The bidder shall demonstrate latest-year turnover of at least INR 14.0 crore.,Turnover,Turnover,Turnover,139900000.0,,INR,False,Financial/Turnover Document,False,CROSS_DOCUMENT,MEDIUM,MEDIUM,4
REQ-000018,TND-000001,The bidder must furnish the applicable legal eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,False,Supporting Document,False,FIELD_MATCH,HIGH,MEDIUM,2
REQ-000019,TND-000001,The bidder shall demonstrate latest-year turnover of at least INR 13.3 crore.,Turnover,Turnover,Turnover,132700000.0,,INR,False,Financial/Turnover Document,False,SEMANTIC_MATCH,HIGH,MEDIUM,2
REQ-000020,TND-000001,Technical capability relevant to the scope shall be established through supporting evidence.,Technical eligibility,Technical eligibility,Technical eligibility,,,,False,Supporting Document,False,THRESHOLD_CHECK,HIGH,MEDIUM,2
REQ-000021,TND-000001,"Where MSME status is claimed, valid Udyam evidence shall be furnished.",Udyam/MSME,Udyam/MSME,Udyam/MSME,,,,False,Udyam/MSME Certificate,True,SEMANTIC_MATCH,MEDIUM,MEDIUM,2
REQ-000022,TND-000001,The bidder shall satisfy the tender-specific eligibility condition stated for this procurement.,Tender-specific,Tender-specific,Tender-specific,3.0,,units,False,Supporting Document,False,THRESHOLD_CHECK,LOW,MEDIUM,4
REQ-000023,TND-000001,The bidder must furnish the applicable legal eligibility declaration.,Legal eligibility,Legal eligibility,Legal eligibility,,,,False,Supporting Document,False,CROSS_DOCUMENT,HIGH,MEDIUM,4
REQ-000024,TND-000001,"Where applicable, the bidder shall provide valid EPFO/ESIC registration evidence.",EPFO/ESIC,EPFO/ESIC,EPFO/ESIC,,,,False,Supporting Document,True,FIELD_MATCH,MEDIUM,MEDIUM,3
